               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.033941,            0.040898,           0.0060612,             0.69345,             0.59352,             0.69132,             0.43134,            0.025768,            0.019181,            0.011457,           0.0087526,           0.0087526,           0.0087526
                  65,            0.033984,            0.040176,           0.0063857,             0.66006,             0.64284,             0.67475,             0.39493,             0.02513,            0.019807,            0.023178,           0.0087328,           0.0087328,           0.0087328
                  66,            0.033837,            0.038836,           0.0057342,             0.64307,             0.66265,             0.68202,             0.41678,            0.025477,            0.018844,            0.012274,            0.008713,            0.008713,            0.008713
                  67,            0.033001,              0.0372,           0.0063225,             0.62172,             0.56216,             0.63459,             0.39589,            0.025951,            0.021026,            0.011456,           0.0086932,           0.0086932,           0.0086932
                  68,            0.034246,            0.039048,           0.0059279,             0.67221,             0.63558,             0.67407,             0.40368,            0.026392,            0.019801,            0.014021,           0.0086734,           0.0086734,           0.0086734
                  69,            0.033207,            0.039014,           0.0051569,             0.70275,             0.65132,             0.69606,             0.39118,            0.026307,            0.020791,            0.011224,           0.0086536,           0.0086536,           0.0086536
                  70,            0.033737,             0.03834,           0.0058328,             0.62039,             0.56029,             0.59353,             0.36057,            0.025045,            0.022506,            0.019165,           0.0086338,           0.0086338,           0.0086338
                  71,            0.033656,            0.038042,           0.0060435,             0.72314,             0.63064,             0.69656,              0.4308,            0.024961,            0.019386,            0.013242,            0.008614,            0.008614,            0.008614
                  72,            0.033137,            0.039723,           0.0060381,             0.57874,             0.63987,             0.64752,             0.37686,              0.0279,            0.020082,            0.017567,           0.0085942,           0.0085942,           0.0085942
                  73,            0.033649,             0.03848,           0.0054272,             0.69261,             0.62146,             0.66628,             0.37366,            0.026316,            0.019332,            0.022748,           0.0085744,           0.0085744,           0.0085744
                  74,            0.033868,            0.039887,           0.0053251,             0.74338,             0.63502,             0.70906,              0.4168,            0.026143,            0.019929,            0.010899,           0.0085546,           0.0085546,           0.0085546
                  75,            0.032938,            0.038318,           0.0053741,             0.76564,             0.64109,             0.71725,             0.44938,            0.025124,            0.019013,           0.0086238,           0.0085348,           0.0085348,           0.0085348
                  76,            0.032472,            0.036245,           0.0054308,             0.57562,             0.64552,             0.61586,             0.40985,            0.025554,            0.020811,            0.014672,            0.008515,            0.008515,            0.008515
                  77,            0.032774,            0.040476,           0.0055067,             0.75023,             0.62433,             0.70912,             0.43527,            0.026212,            0.020811,            0.018821,           0.0084952,           0.0084952,           0.0084952
                  78,            0.031976,            0.036411,           0.0052926,             0.70729,             0.66102,             0.72822,             0.42698,            0.025945,            0.019832,            0.010795,           0.0084754,           0.0084754,           0.0084754
                  79,            0.032742,            0.039836,            0.005199,              0.6796,             0.58035,             0.69024,             0.44748,            0.025163,             0.01952,            0.015051,           0.0084556,           0.0084556,           0.0084556
                  80,            0.031502,            0.037858,           0.0054382,              0.6574,             0.63714,             0.68974,             0.43996,            0.025209,            0.019925,            0.010301,           0.0084358,           0.0084358,           0.0084358
                  81,            0.031188,            0.036793,           0.0047068,             0.63705,             0.56426,             0.61663,             0.38492,             0.02615,            0.020478,            0.024316,            0.008416,            0.008416,            0.008416
                  82,            0.033036,            0.036173,           0.0052935,             0.73139,             0.64571,             0.69272,              0.4305,            0.025368,            0.021171,            0.014632,           0.0083962,           0.0083962,           0.0083962
                  83,            0.032567,            0.036638,           0.0055571,             0.70099,             0.65996,             0.67869,             0.41108,            0.027196,            0.019679,            0.017001,           0.0083764,           0.0083764,           0.0083764
                  84,            0.031041,            0.036017,           0.0049819,             0.68782,              0.6168,             0.69456,              0.3961,             0.02661,            0.019244,            0.012559,           0.0083566,           0.0083566,           0.0083566
                  85,             0.03092,            0.035773,            0.005324,              0.5959,             0.64019,             0.65889,             0.41341,            0.025492,            0.020397,            0.021631,           0.0083368,           0.0083368,           0.0083368
                  86,            0.032102,            0.038168,           0.0055479,             0.65651,             0.63802,             0.68109,             0.43261,            0.025147,            0.019514,             0.01778,            0.008317,            0.008317,            0.008317
                  87,            0.031328,            0.037339,           0.0048133,              0.6287,             0.66152,             0.68314,             0.40994,            0.027086,            0.020575,            0.019706,           0.0082972,           0.0082972,           0.0082972
                  88,            0.031485,            0.035621,           0.0051486,             0.72677,             0.59528,             0.68581,             0.43538,            0.025158,            0.019488,            0.012163,           0.0082774,           0.0082774,           0.0082774
                  89,            0.031454,            0.035851,           0.0049209,             0.76977,             0.61193,             0.69309,             0.43708,            0.026156,            0.020488,             0.01055,           0.0082576,           0.0082576,           0.0082576
                  90,            0.031189,            0.035898,           0.0047203,             0.65833,             0.67532,             0.69994,             0.43114,            0.027915,            0.020073,            0.012959,           0.0082378,           0.0082378,           0.0082378
                  91,            0.030545,            0.036372,           0.0044978,             0.64074,             0.62335,             0.66928,             0.39027,            0.026495,            0.019468,            0.015641,            0.008218,            0.008218,            0.008218
                  92,            0.031364,             0.03646,           0.0049019,             0.74201,             0.58107,             0.67501,             0.42431,            0.027269,            0.020332,            0.014919,           0.0081982,           0.0081982,           0.0081982
                  93,            0.030644,            0.035648,           0.0052833,             0.65272,             0.60151,             0.66339,             0.40878,            0.024977,            0.021056,            0.014666,           0.0081784,           0.0081784,           0.0081784
                  94,            0.030163,            0.035533,           0.0050259,             0.67903,             0.69434,             0.68465,             0.43889,            0.025119,            0.020017,             0.02192,           0.0081586,           0.0081586,           0.0081586
                  95,            0.030532,            0.036678,           0.0051241,             0.66827,              0.6215,             0.66558,             0.40188,             0.02505,             0.02043,            0.014878,           0.0081388,           0.0081388,           0.0081388
                  96,             0.03141,             0.03553,           0.0046332,             0.64473,             0.63632,              0.6523,             0.38479,            0.026069,            0.023189,            0.014646,            0.008119,            0.008119,            0.008119
                  97,              0.0297,            0.034929,           0.0045812,             0.68508,             0.62296,             0.66147,             0.41884,            0.025199,            0.019656,             0.01481,           0.0080992,           0.0080992,           0.0080992
                  98,            0.030628,            0.036842,           0.0050486,             0.57531,             0.65975,              0.6441,             0.38747,            0.026827,            0.020626,            0.015593,           0.0080794,           0.0080794,           0.0080794
                  99,            0.030617,            0.036148,           0.0044743,             0.78054,               0.592,               0.698,             0.43188,            0.024143,            0.019222,            0.016398,           0.0080596,           0.0080596,           0.0080596
                 100,            0.031114,            0.036035,           0.0048272,             0.66353,             0.60544,             0.62912,             0.36253,            0.027255,            0.020917,            0.015321,           0.0080398,           0.0080398,           0.0080398
                 101,            0.030497,            0.034534,           0.0043679,              0.7624,             0.53099,             0.63231,             0.37581,            0.028014,            0.021084,            0.014402,             0.00802,             0.00802,             0.00802
                 102,            0.030418,            0.035492,           0.0042184,             0.71867,             0.67016,             0.69182,             0.41697,            0.025989,            0.019785,            0.010904,           0.0080002,           0.0080002,           0.0080002
                 103,              0.0294,            0.034845,           0.0043979,             0.71959,             0.64794,             0.69625,             0.44359,            0.024534,            0.019981,            0.010716,           0.0079804,           0.0079804,           0.0079804
                 104,            0.030164,            0.034679,           0.0042764,             0.58627,             0.68272,             0.68951,             0.43414,            0.025899,            0.019607,            0.018386,           0.0079606,           0.0079606,           0.0079606
                 105,            0.029542,            0.035151,           0.0043276,             0.61665,             0.69431,             0.67864,             0.44142,            0.023796,             0.01975,            0.015119,           0.0079408,           0.0079408,           0.0079408
                 106,            0.029512,            0.034848,           0.0044019,               0.608,             0.73497,             0.67471,             0.42799,            0.025412,            0.019889,            0.017849,            0.007921,            0.007921,            0.007921
                 107,            0.030105,            0.034322,           0.0046395,             0.70044,             0.66894,             0.68035,             0.42738,            0.024364,             0.02028,            0.013467,           0.0079012,           0.0079012,           0.0079012
                 108,            0.029355,            0.034033,           0.0044473,             0.67096,             0.67742,             0.65907,             0.41184,            0.025779,            0.020194,              0.0179,           0.0078814,           0.0078814,           0.0078814
                 109,            0.030554,            0.035047,           0.0042964,             0.68812,             0.64531,             0.66676,             0.41251,            0.026061,            0.020545,            0.013096,           0.0078616,           0.0078616,           0.0078616
                 110,            0.030287,            0.034263,           0.0041553,             0.66224,             0.65453,             0.68063,             0.43729,            0.025587,            0.021373,            0.019837,           0.0078418,           0.0078418,           0.0078418
                 111,            0.028759,             0.03434,           0.0041475,             0.60794,             0.65865,             0.64856,             0.40945,            0.025387,             0.02034,            0.020829,            0.007822,            0.007822,            0.007822
